AŃO,MES,CCAA_DESTINO,CONTINENTE_ORIGEN,PAIS_ORIGEN,TURISTAS,PERNOCTACIONES,ESTANCIA_MEDIA
2019,7,Castilla y León,América,Perú,1620,10810,6.7
2019,7,Castilla y León,América,República Dominicana,480,3080,6.4
2019,7,Castilla y León,América,Uruguay,720,6250,8.7
2019,7,Castilla y León,América,Venezuela,1250,10990,8.8
2019,7,Castilla y León,Asia,Arabia Saudí,630,3030,4.8
2019,7,Castilla y León,Asia,China,19070,101360,5.3
2019,7,Castilla y León,Asia,Corea,4440,24810,5.6
2019,7,Castilla y León,Asia,Emiratos Árabes Unidos,1160,6700,5.8
2019,7,Castilla y León,Asia,Filipinas,350,2800,8.0
2019,7,Castilla y León,Asia,India,1090,6540,6.0
2019,7,Castilla y León,Asia,Indonesia,650,2410,3.7
2019,7,Castilla y León,Asia,Israel,1020,5200,5.1
2019,7,Castilla y León,Asia,Japón,2340,15670,6.7
2019,7,Castilla y León,Asia,Jordania,300,1440,4.8
2019,7,Castilla y León,Asia,Líbano,1260,4440,3.5
2019,7,Castilla y León,Asia,Malasia,400,2640,6.6
2019,7,Castilla y León,Asia,Omán,340,2690,7.9
2019,7,Castilla y León,Asia,Otros países de Asia,710,4690,6.6
2019,7,Castilla y León,Asia,Pakistán,350,2650,7.6
2019,7,Castilla y León,Asia,Qatar,540,3340,6.2
2019,7,Castilla y León,Asia,Singapur,480,3330,6.9
2019,7,Castilla y León,Asia,Sri Lanka,350,1540,4.4
2019,7,Castilla y León,Asia,Tailandia,1060,6460,6.1
2019,7,Castilla y León,Asia,Vietnam,720,3380,4.7
2019,7,Castilla y León,Europa,Alemania,188980,1042590,5.5
2019,7,Castilla y León,Europa,Andorra,3660,19860,5.4
2019,7,Castilla y León,Europa,Austria,41450,249390,6.0
2019,7,Castilla y León,Europa,Belarús,760,3780,5.0
2019,7,Castilla y León,Europa,Bulgaria,11820,96030,8.1
2019,7,Castilla y León,Europa,Bélgica,101600,329200,3.2
2019,7,Castilla y León,Europa,Croacia,1120,6770,6.0
2019,7,Castilla y León,Europa,Dinamarca,17240,131390,7.6
2019,7,Castilla y León,Europa,Eslovenia,1950,12610,6.5
2019,7,Castilla y León,Europa,Estonia,2990,14530,4.9
2019,7,Castilla y León,Europa,Finlandia,1660,10860,6.5
2019,7,Castilla y León,Europa,Francia,578000,1950140,3.4
2019,7,Castilla y León,Europa,Georgia,420,2720,6.5
2019,7,Castilla y León,Europa,Grecia,1780,13580,7.6
2019,7,Castilla y León,Europa,Hungría,9590,53590,5.6
2019,7,Castilla y León,Europa,Irlanda,26770,169740,6.3
2019,7,Castilla y León,Europa,Islandia,710,6460,9.1
2019,7,Castilla y León,Europa,Italia,76950,452770,5.9
2019,7,Castilla y León,Europa,Letonia,2690,12850,4.8
2019,7,Castilla y León,Europa,Liechtenstein,3250,14810,4.6
2019,7,Castilla y León,Europa,Lituania,8460,33450,4.0
2019,7,Castilla y León,Europa,Luxemburgo,36750,130500,3.6
2019,7,Castilla y León,Europa,Malta,480,3740,7.8
2019,7,Castilla y León,Europa,Moldavia,640,3670,5.7
2019,7,Castilla y León,Europa,Noruega,5190,35070,6.8
2019,7,Castilla y León,Europa,Países Bajos,177720,848420,4.8
2019,7,Castilla y León,Europa,Polonia,44300,155670,3.5
2019,7,Castilla y León,Europa,Portugal,370170,2087540,5.6
2019,7,Castilla y León,Europa,Reino Unido,94660,528920,5.75
